crash_year,hour_of_day,latitude,longitude
2017,8,39 55:28.622,75 08:49.528
2017,12,39 59:44.502,75 10:40.573
2017,0,39 57:25.867,75 12:07.023
2017,6,39 56:49.419,75 10:05.430
2017,18,40 01:05.022,75 09:18.187
2017,16,40 02:54.498,75 00:45.987
2017,18,39 57:57.056,75 14:02.155
2017,16,39 54:44.600,75 10:22.600
2017,7,40 02:11.660,75 07:53.740
2017,14,40 01:12.969,75 02:36.166
2017,1,40 02:51.086,75 08:34.404
2017,6,40 01:25.939,75 01:57.066
2017,6,40 00:25.638,75 12:00.044
2017,17,39 58:02.523,75 11:20.433
2017,22,40 01:21.921,75 04:12.734
2017,15,39 58:25.100,75 11:13.400
2017,15,39 57:56.929,75 14:45.807
2017,17,39 56:00.534,75 11:30.089
2017,1,40 03:22.785,75 05:20.375
2017,15,40 04:08.017,75 10:54.337
2017,13,39 59:23.971,75 13:09.663
2017,5,40 00:45.378,75 08:26.717
2017,20,39 57:36.117,75 10:47.954
2017,22,40 00:14.356,75 09:20.260
2017,5,39 59:40.673,75 05:40.311
2017,4,39 57:44.266,75 08:23.210
2017,20,40 00:25.956,75 07:38.485
2017,2,39 57:51.112,75 09:51.739
2017,19,39 57:44.856,75 13:37.657
2017,20,39 59:29.538,75 12:11.543
2017,20,39 58:48.184,75 06:25.295
2017,13,39 56:44.146,75 11:24.277
2017,23,39 57:15.358,75 08:22.158
2017,13,39 58:46.556,75 06:25.136
2017,12,39 59:37.050,75 06:45.550
2017,11,40 04:01.606,75 12:10.770
2017,18,39 56:11.083,75 13:08.439
2017,4,40 02:29.553,75 00:15.223
2017,8,39 56:22.681,75 11:53.378
2017,13,39 54:50.431,75 08:59.775
2017,19,40 02:40.458,75 03:08.036
2017,17,39 54:01.640,75 09:21.460
2017,11,39 58:02.240,75 08:12.065
2017,11,39 56:29.618,75 09:50.945
2017,6,39 59:39.848,75 09:29.483
2017,0,40 05:56.720,74 59:44.670
2017,19,39 58:53.767,75 15:03.834
2017,8,40 01:40.501,75 10:45.508
2017,14,40 02:46.012,75 08:35.091
2017,18,40 02:48.424,75 04:13.037
2017,10,40 04:41.328,75 10:29.360
2017,23,39 59:21.413,75 11:52.201
2017,19,39 54:20.210,75 11:38.294
2017,99,40 00:43.128,75 08:09.038
2017,1,40 00:57.884,75 09:12.774
2017,8,39 56:50.172,75 11:36.318
2017,7,39 55:51.170,75 13:21.920
2017,9,40 00:48.619,75 08:50.031
2017,21,39 58:46.534,75 12:16.000
2017,11,39 57:02.469,75 09:01.365
2017,6,40 00:47.499,75 12:23.255
2017,4,39 57:25.524,75 09:24.020
2017,99,40 01:22.324,75 08:06.575
2017,0,40 01:18.900,75 07:38.400
2017,15,39 54:09.056,75 13:29.172
2017,15,39 59:13.857,75 09:02.072
2017,15,40 00:51.570,75 10:41.163
2017,14,39 57:16.500,75 08:39.200
2017,18,39 53:31.043,75 14:31.507
2017,16,39 54:47.355,75 08:54.585
2017,21,40 02:30.732,75 00:15.193
2017,1,40 04:38.618,75 02:10.931
2017,0,39 58:55.337,75 12:27.281
2017,17,40 02:27.128,75 03:41.155
2017,20,40 06:36.240,74 59:39.579
2017,14,39 58:12.547,75 13:42.780
2017,9,40 02:06.500,75 02:51.082
2017,19,39 55:54.489,75 11:59.077
2017,21,39 59:35.090,75 09:34.740
2017,7,39 59:53.940,75 11:45.141
2017,10,39 59:11.162,75 06:16.232
2017,17,39 57:49.562,75 09:31.935
2017,18,39 58:03.173,75 09:36.779
2017,12,40 01:02.895,75 09:04.067
2017,7,39 55:01.859,75 14:46.691
2017,21,40 02:34.675,75 07:34.113
2017,17,40 01:44.652,75 03:43.978
2017,16,39 57:40.071,75 12:59.577
2017,15,40 00:14.108,75 08:57.073
2017,23,39 57:25.477,75 13:31.748
2017,0,40 00:07.958,75 04:42.338
2017,17,40 03:38.041,75 00:33.700
2017,99,40 02:42.672,75 13:54.227
2017,18,39 57:21.055,75 11:27.598
2017,17,39 55:57.332,75 10:52.838
2017,18,40 01:31.746,75 07:20.688
2017,16,40 03:30.800,75 14:02.400
2017,21,40 03:34.246,75 03:07.165
2017,11,40 04:27.539,75 02:05.367
2017,23,39 58:47.118,75 11:08.552
2017,18,40 00:52.055,75 04:46.088
2017,13,40 02:17.980,75 13:42.760
2017,11,40 03:10.051,75 08:06.997
2017,2,40 03:34.820,75 14:06.266
2017,16,39 59:52.551,75 07:02.161
2017,1,40 04:19.442,75 11:14.237
2017,18,40 04:46.113,74 59:30.364
2017,5,39 56:33.623,75 11:36.400
2017,15,40 04:52.600,74 58:54.105
2017,23,39 57:37.110,75 08:20.264
2017,12,39 58:10.174,75 11:31.858
2017,5,39 58:20.809,75 13:15.665
2017,8,40 06:12.988,75 01:49.801
2017,6,40 00:54.770,75 08:11.399
2017,99,40 02:50.643,75 04:40.796
2017,9,39 59:35.383,75 08:08.901
2017,15,40 00:43.340,75 03:36.633
2017,8,40 03:11.181,75 08:59.701
2017,10,40 00:24.390,75 07:55.574
2017,20,40 06:51.780,74 59:17.002
2017,12,39 57:00.398,75 09:50.914
2017,19,40 03:23.118,75 03:12.017
2017,7,39 54:56.227,75 10:33.558
2017,21,39 58:09.757,75 12:16.372
2017,15,39 59:03.331,75 05:46.742
2017,2,39 57:12.978,75 09:54.168
2017,1,40 02:56.557,75 05:40.778
2017,21,39 53:29.350,75 14:32.946
2017,20,39 56:45.297,75 13:06.542
2017,3,40 00:17.399,75 11:39.648
